fund_code,name,trade_date,prev_trade_date,share_change,share_change_pct,confirmed_at,confirm_note
159527.SZ,广发中证云计算与大数据主题ETF,20240426,20240425,-2800.0,-0.6349141562047552,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
588320.SH,广发中证科创创业50增强策略ETF,20240507,20240506,5400.0,3.029520999068702,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
588320.SH,广发中证科创创业50增强策略ETF,20240508,20240507,-5400.0,-0.751831545180899,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
159527.SZ,广发中证云计算与大数据主题ETF,20240514,20240513,3400.0,2.1117422183852,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
159527.SZ,广发中证云计算与大数据主题ETF,20240515,20240514,-3400.0,-0.6786366190323639,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
159543.SZ,工银瑞信国证2000ETF,20240515,20240514,-3600.0,-0.6642489113375499,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
513190.SH,华夏中证港股通内地金融ETF,20240517,20240516,7300.0,0.9741646204761396,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
159539.SZ,广发国证信息技术创新主题ETF,20240520,20240517,-3600.0000000000005,-0.5753999085305945,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
561780.SH,博时中证1000增强策略ETF,20240524,20240523,-2800.0,-0.528742838367091,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
159787.SZ,易方达中证全指建筑材料ETF,20240528,20240527,5700.0,2.711492489665289,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
560580.SH,南方中证全指电力公用事业ETF,20240528,20240527,-2600.0,-0.5531561815203284,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
159787.SZ,易方达中证全指建筑材料ETF,20240529,20240528,-5700.0,-0.730566610929561,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
562930.SH,易方达中证软件服务ETF,20240604,20240603,-4500.000000000001,-0.5146562667978087,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
562920.SH,易方达中证信息安全主题ETF,20240607,20240606,-5000.0,-0.6572979794660112,2026-06-27T16:09:06,auto_confirmed_no_announcement_after_retry
588320.SH,广发中证科创创业50增强策略ETF,20240614,20240613,5400.0,3.029520999068702,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
588320.SH,广发中证科创创业50增强策略ETF,20240617,20240614,-5400.0,-0.751831545180899,2026-06-27T15:51:16,auto_confirmed_non_lifecycle_announcements
