fund_code,announcement_date,event_date,title,content,source_url
159944.SZ,20230120,,广发中证全指原材料交易型开放式指数证券投资基金2022年第4季度报告,,https://static.cninfo.com.cn/finalpage/2023-01-20/1215663276.PDF
513320.SH,20230120,,易方达基金管理有限公司旗下基金2022年第4季度报告提示性公告,定期报告(基金) 季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-01-20/513320_20230120_HX2E.pdf
513320.SH,20230120,,易方达恒生港股通新经济交易型开放式指数证券投资基金2022年第4季度报告,定期报告(基金) 季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-01-20/513320_20230120_QHXQ.pdf
560680.SH,20230120,,广发中证主要消费交易型开放式指数证券投资基金2022年第4季度报告,定期报告(基金) 季度报告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-01-20/560680_20230120_BDAQ.pdf
560680.SH,20230120,,广发基金管理有限公司关于旗下基金2022年第4季度报告提示性公告,临时报告(基金) 提示性公告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-01-20/560680_20230120_KA02.pdf
516700.SH,20230202,,华宝基金管理有限公司关于以通讯方式召开华宝中证大数据产业交易型开放式指数证券投资基金基金份额持有人大会的公告,基金运作(基金) 持有人大会,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-02-02/516700_20230202_N9Z2.pdf
516700.SH,20230203,,华宝基金管理有限公司关于以通讯方式召开华宝中证大数据产业交易型开放式指数证券投资基金基金份额持有人大会的第一次提示性公告,基金运作(基金) 持有人大会,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-02-03/516700_20230203_7G5O.pdf
516700.SH,20230204,,华宝基金管理有限公司关于以通讯方式召开华宝中证大数据产业交易型开放式指数证券投资基金基金份额持有人大会的第二次提示性公告,基金运作(基金) 持有人大会,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-02-04/516700_20230204_YWSV.pdf
159620.SZ,20230208,,华夏基金管理有限公司关于旗下部分深交所ETF新增申购赎回代办证券公司的公告,,https://static.cninfo.com.cn/finalpage/2023-02-08/1215789585.PDF
159666.SZ,20230208,,华夏中证全指运输交易型开放式指数证券投资基金上市交易公告书,,https://static.cninfo.com.cn/finalpage/2023-02-08/1215789138.PDF
159666.SZ,20230208,,华夏中证全指运输交易型开放式指数证券投资基金开放日常申购、赎回业务的公告,,https://static.cninfo.com.cn/finalpage/2023-02-08/1215789139.PDF
159666.SZ,20230210,,华夏基金管理有限公司关于华夏中证全指运输交易型开放式指数证券投资基金新增申购赎回代办证券公司的公告,,https://static.cninfo.com.cn/finalpage/2023-02-10/1215816101.PDF
159939.SZ,20230210,,关于广发中证全指信息技术交易型开放式指数证券投资基金基金份额拆分并调整最小申购赎回单位的公告,,https://static.cninfo.com.cn/finalpage/2023-02-10/1215815081.PDF
159666.SZ,20230213,,华夏中证全指运输交易型开放式指数证券投资基金上市交易提示性公告,,https://static.cninfo.com.cn/finalpage/2023-02-13/1215830618.PDF
159666.SZ,20230213,,华夏基金管理有限公司关于华夏中证全指运输交易型开放式指数证券投资基金新增申购赎回代办证券公司的公告,,https://static.cninfo.com.cn/finalpage/2023-02-13/1215828814.PDF
159666.SZ,20230213,,华夏基金管理有限公司关于华夏中证全指运输交易型开放式指数证券投资基金流动性服务商的公告,,https://static.cninfo.com.cn/finalpage/2023-02-13/1215827130.PDF
159655.SZ,20230215,,华夏标普500交易型开放式指数证券投资基金（QDII）暂停申购、赎回业务的公告,,https://static.cninfo.com.cn/finalpage/2023-02-15/1215862958.PDF
159939.SZ,20230215,,广发中证全指信息技术交易型开放式指数证券投资基金更新的招募说明书,,https://static.cninfo.com.cn/finalpage/2023-02-15/1215862450.PDF
159939.SZ,20230216,,关于广发中证全指信息技术交易型开放式指数证券投资基金基金份额拆分结果及恢复申购、赎回的公告,,https://static.cninfo.com.cn/finalpage/2023-02-16/1215873539.PDF
513320.SH,20230220,,易方达恒生港股通新经济交易型开放式指数证券投资基金基金产品资料概要更新,基金运作(基金) 更新招募类/产品资料概要公告及文件,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-02-20/513320_20230220_FZ9A.pdf
159939.SZ,20230223,,广发基金管理有限公司关于调整旗下部分开放式基金分红方式变更规则的公告,,https://static.cninfo.com.cn/finalpage/2023-02-23/1215938633.PDF
560680.SH,20230223,,广发基金管理有限公司关于调整旗下部分开放式基金分红方式变更规则的公告,临时报告(基金) 其他事项,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-02-23/560680_20230223_F0CZ.pdf
588320.SH,20230223,,广发基金管理有限公司关于调整旗下部分开放式基金分红方式变更规则的公告,临时报告(基金) 其他事项,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-02-23/588320_20230223_GN18.pdf
159627.SZ,20230228,,华夏基金管理有限公司关于旗下部分深交所ETF新增申购赎回代办证券公司的公告,,https://static.cninfo.com.cn/finalpage/2023-02-28/1215988822.PDF
159655.SZ,20230228,,华夏基金管理有限公司关于旗下部分深交所ETF新增申购赎回代办证券公司的公告,,https://static.cninfo.com.cn/finalpage/2023-02-28/1215988824.PDF
159791.SZ,20230228,,华夏基金管理有限公司关于旗下部分深交所ETF新增申购赎回代办证券公司的公告,,https://static.cninfo.com.cn/finalpage/2023-02-28/1215988832.PDF
516190.SH,20230228,,华夏基金管理有限公司关于旗下部分上交所ETF新增国金证券为申购赎回代办证券公司的公告,临时报告(基金) 营销活动,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-02-28/516190_20230228_4R68.pdf
562530.SH,20230228,,华夏基金管理有限公司关于旗下部分上交所ETF新增国金证券为申购赎回代办证券公司的公告,临时报告(基金) 营销活动,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-02-28/562530_20230228_G4JZ.pdf
588320.SH,20230301,,关于增加华泰证券为广发中证科创创业50增强策略交易型开放式指数证券投资基金一级交易商的公告,临时报告(基金) 代办券商变更,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-03-01/588320_20230301_69AT.pdf
513320.SH,20230303,,关于旗下部分基金在2023年度新增港股通交易日照常开放申购、赎回、转换、定期定额投资业务的公告,临时报告(基金) 其他事项,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-03-03/513320_20230303_65A8.pdf
560680.SH,20230303,,广发基金管理有限公司关于增加中金公司为旗下部分ETF一级交易商的公告,临时报告(基金) 代办券商变更,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-03-03/560680_20230303_SKSK.pdf
159689.SZ,20230308,,南方中证主要消费交易型开放式指数证券投资基金上市交易公告书,,https://static.cninfo.com.cn/finalpage/2023-03-08/1216063361.PDF
159689.SZ,20230308,,南方中证主要消费交易型开放式指数证券投资基金开放日常申购与赎回业务的公告,,https://static.cninfo.com.cn/finalpage/2023-03-08/1216063360.PDF
159689.SZ,20230310,,关于南方中证主要消费交易型开放式指数证券投资基金流动性服务商的公告,,https://static.cninfo.com.cn/finalpage/2023-03-10/1216081533.PDF
159689.SZ,20230311,,南方基金关于南方中证主要消费交易型开放式指数证券投资基金增加部分券商为场内申购赎回代理券商的公告,,https://static.cninfo.com.cn/finalpage/2023-03-11/1216093224.PDF
159689.SZ,20230313,,南方中证主要消费交易型开放式指数证券投资基金上市交易提示性公告,,https://static.cninfo.com.cn/finalpage/2023-03-13/1216093793.PDF
561350.SH,20230313,,国泰基金管理有限公司关于旗下部分交易型开放式基金新增东海证券股份有限公司为一级交易商的公告,临时报告(基金) 营销活动,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-03-13/561350_20230313_JK8Q.pdf
517660.SH,20230315,,天弘基金管理有限公司关于旗下部分基金新增申购赎回代办证券公司的公告,临时报告(基金) 提示性公告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-03-15/517660_20230315_LV2B.pdf
159689.SZ,20230317,,关于南方中证主要消费交易型开放式指数证券投资基金流动性服务商的公告(1),,https://static.cninfo.com.cn/finalpage/2023-03-17/1216135115.PDF
517660.SH,20230318,,关于天弘中证沪港深物联网主题交易型开放式指数证券投资基金基金资产净值的提示性公告,临时报告(基金) 提示性公告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-03-18/517660_20230318_EUYO.pdf
517660.SH,20230318,,天弘中证沪港深物联网主题交易型开放式指数证券投资基金招募说明书（更新）,基金运作(基金) 更新招募类/产品资料概要公告及文件,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-03-18/517660_20230318_Q1EK.pdf
