fund_code,name,is_etf_candidate,candidate_rule,category,subcategory,fund_type,benchmark,market,status,list_date,delist_date,management,category_rule,review_note,sw_index_code,sw_industry_name,sw_level,sw_parent_code,sw_match_term,sw_match_rule
512090.SH,易方达MSCI中国A股国际通ETF,Y,include:name_etf,宽基,MSCI,股票型,MSCI中国A股国际通指数(MSCIChinaAInclusionRMBIndex)收益率×100%,E,L,2018/6/1,,易方达基金管理有限公司,fund_type/benchmark/name:broad_index,,,,,,,
512160.SH,南方MSCI中国A股国际通ETF,Y,include:name_etf,宽基,MSCI,股票型,MSCIChinaAInclusionRMBIndex(MSCI中国A股国际通指数)×100%,E,L,2018/4/27,,南方基金管理股份有限公司,fund_type/benchmark/name:broad_index,,,,,,,
512220.SH,景顺长城中证科技传媒通信150ETF,Y,include:name_etf,科技,通信,股票型,中证科技传媒通信150指数×100%,E,L,2014/8/19,,景顺长城基金管理有限公司,sw2021:index_classify,,801760.SI,传媒,L1,0,传媒,sw2021:industry_name
512360.SH,平安MSCI中国A股国际ETF,Y,include:name_etf,宽基,MSCI,股票型,MSCI中国A股国际指数(MSCIChinaAInternationalIndex)收益率×100%,E,L,2018/7/20,,平安基金管理有限公司,fund_type/benchmark/name:broad_index,,,,,,,
512480.SH,国联安中证全指半导体产品与设备ETF,Y,include:name_etf,科技,半导体,股票型,中证全指半导体产品与设备指数收益率×100%,E,L,2019/6/12,,国联安基金管理有限公司,sw2021:index_classify,,801081.SI,半导体,L2,270000,半导体,sw2021:industry_name
512720.SH,国泰中证计算机主题ETF,Y,include:name_etf,科技,计算机,股票型,中证计算机主题指数收益率×100%,E,L,2019/8/16,,国泰基金管理有限公司,sw2021:index_classify,,801750.SI,计算机,L1,0,计算机,sw2021:industry_name
512760.SH,国泰CES半导体芯片行业ETF,Y,include:name_etf,科技,半导体,股票型,中华交易服务半导体芯片行业指数收益率×100%,E,L,2019/6/12,,国泰基金管理有限公司,sw2021:index_classify,,801081.SI,半导体,L2,270000,半导体,sw2021:industry_name
512930.SH,平安中证人工智能主题ETF,Y,include:name_etf,科技,人工智能,股票型,中证人工智能主题指数收益率×100%,E,L,2019/8/23,,平安基金管理有限公司,fund_type/benchmark/name:technology,,,,,,,
515000.SH,华宝中证科技龙头ETF,Y,include:name_etf,科技,科技综合,股票型,中证科技龙头指数收益率×100%,E,L,2019/8/16,,华宝基金管理有限公司,fund_type/benchmark/name:technology,,,,,,,
515050.SH,华夏中证5G通信主题ETF,Y,include:name_etf,科技,通信,股票型,中证5G通信主题指数收益率×100%,E,L,2019/10/16,,华夏基金管理有限公司,sw2021:index_classify,,801770.SI,通信,L1,0,通信,sw2021:industry_name
515070.SH,华夏中证人工智能主题ETF,Y,include:name_etf,科技,人工智能,股票型,中证人工智能主题指数收益率×100%,E,L,2019/12/24,,华夏基金管理有限公司,fund_type/benchmark/name:technology,,,,,,,
515160.SH,招商MSCI中国A股国际通ETF,Y,include:name_etf,宽基,MSCI,股票型,MSCI中国A股国际通指数(MSCIChinaAInclusionRMBIndex)收益率×100%,E,L,2020/3/2,,招商基金管理有限公司,fund_type/benchmark/name:broad_index,,,,,,,
515230.SH,国泰中证全指软件ETF,Y,include:name_etf,科技,软件,股票型,中证全指软件指数收益率×100%,E,L,2021/3/2,,国泰基金管理有限公司,fund_type/benchmark/name:technology,,,,,,,
515260.SH,华宝中证电子50ETF,Y,include:name_etf,科技,电子,股票型,中证电子50指数收益率×100%,E,L,2020/7/31,,华宝基金管理有限公司,sw2021:index_classify,,801080.SI,电子,L1,0,电子,sw2021:industry_name
515320.SH,华安中证电子50ETF,Y,include:name_etf,科技,电子,股票型,中证电子50指数收益率×100%,E,L,2021/1/8,,华安基金管理有限公司,sw2021:index_classify,,801080.SI,电子,L1,0,电子,sw2021:industry_name
515580.SH,华泰柏瑞中证科技100ETF,Y,include:name_etf,科技,科技综合,股票型,中证科技100指数收益率×100%,E,L,2019/10/28,,华泰柏瑞基金管理有限公司,fund_type/benchmark/name:technology,,,,,,,
515750.SH,富国中证科技50策略ETF,Y,include:name_etf,科技,科技综合,股票型,中证科技50策略指数收益率×100%,E,L,2019/12/6,,富国基金管理有限公司,fund_type/benchmark/name:technology,,,,,,,
515860.SH,嘉实中证新兴科技100策略ETF,Y,include:name_etf,科技,科技综合,股票型,中证新兴科技100策略指数收益率×100%,E,L,2019/10/22,,嘉实基金管理有限公司,fund_type/benchmark/name:technology,,,,,,,
515880.SH,国泰中证全指通信设备ETF,Y,include:name_etf,科技,通信,股票型,中证全指通信设备指数收益率×100%,E,L,2019/9/6,,国泰基金管理有限公司,sw2021:index_classify,,801102.SI,通信设备,L2,730000,通信设备,sw2021:industry_name
515980.SH,华富中证人工智能产业ETF,Y,include:name_etf,科技,人工智能,股票型,中证人工智能产业指数收益率×100%,E,L,2020/2/10,,华富基金管理有限公司,fund_type/benchmark/name:technology,,,,,,,
516050.SH,工银瑞信中证科技龙头ETF,Y,include:name_etf,科技,科技综合,股票型,中证科技龙头指数收益率×100%,E,L,2021/2/5,,工银瑞信基金管理有限公司,fund_type/benchmark/name:technology,,,,,,,
516350.SH,易方达中证芯片产业ETF,Y,include:name_etf,科技,半导体,股票型,中证芯片产业指数收益率×100%,E,L,2021/12/23,,易方达基金管理有限公司,sw2021:index_classify,,801081.SI,半导体,L2,270000,芯片,sw2021:alias
516640.SH,富国中证芯片产业ETF,Y,include:name_etf,科技,半导体,股票型,中证芯片产业指数×100%,E,L,2021/8/27,,富国基金管理有限公司,sw2021:index_classify,,801081.SI,半导体,L2,270000,芯片,sw2021:alias
516920.SH,汇添富中证芯片产业ETF,Y,include:name_etf,科技,半导体,股票型,中证芯片产业指数收益率×100%,E,L,2021/8/16,,汇添富基金管理股份有限公司,sw2021:index_classify,,801081.SI,半导体,L2,270000,芯片,sw2021:alias
560360.SH,万家中证软件服务ETF,Y,include:name_etf,科技,软件,股票型,中证软件服务指数收益率×100%,E,L,2024/6/24,,万家基金管理有限公司,fund_type/benchmark/name:technology,,,,,,,
560780.SH,广发中证半导体材料设备主题ETF,Y,include:name_etf,科技,半导体,股票型,中证半导体材料设备主题指数收益率×100%,E,L,2023/12/12,,广发基金管理有限公司,sw2021:index_classify,,850813.SI,半导体材料,L3,270100,半导体材料,sw2021:industry_name
560790.SH,鹏华中证软件服务ETF,Y,include:name_etf,科技,软件,股票型,中证软件服务指数收益率×100%,E,L,2026/5/25,,鹏华基金管理有限公司,fund_type/benchmark/name:technology,,,,,,,
560800.SH,鹏扬中证数字经济主题ETF,Y,include:name_etf,科技,人工智能,股票型,中证数字经济主题指数收益率×100%,E,L,2022/1/7,,鹏扬基金管理有限公司,fund_type/benchmark/name:technology,,,,,,,
560990.SH,中金中证科技先锋ETF,Y,include:name_etf,科技,科技综合,股票型,中证科技先锋指数收益率×100%,E,L,2022/6/27,,中金基金管理有限公司,fund_type/benchmark/name:technology,,,,,,,
561010.SH,华安中证全指软件开发ETF,Y,include:name_etf,科技,软件,股票型,中证全指软件开发指数收益率×100%,E,L,2023/12/11,,华安基金管理有限公司,sw2021:index_classify,,801104.SI,软件开发,L2,710000,软件开发,sw2021:industry_name
561100.SH,富国中证消费电子主题ETF,Y,include:name_etf,科技,消费电子,股票型,中证消费电子主题指数收益率×100%,E,L,2022/2/8,,富国基金管理有限公司,sw2021:index_classify,,801085.SI,消费电子,L2,270000,消费电子,sw2021:industry_name
561220.SH,工银瑞信中证诚通国企数字经济ETF,Y,include:name_etf,科技,人工智能,股票型,中证诚通国企数字经济指数收益率×100%,E,L,2025/5/30,,工银瑞信基金管理有限公司,fund_type/benchmark/name:technology,,,,,,,
561310.SH,国泰中证消费电子主题ETF,Y,include:name_etf,科技,消费电子,股票型,中证消费电子主题指数收益率×100%,E,L,2021/11/25,,国泰基金管理有限公司,sw2021:index_classify,,801085.SI,消费电子,L2,270000,消费电子,sw2021:industry_name
561460.SH,天弘中证人工智能主题ETF,Y,include:name_etf,科技,人工智能,股票型,中证人工智能主题指数收益率×100%,E,L,,,天弘基金管理有限公司,fund_type/benchmark/name:technology,,,,,,,
561600.SH,平安中证消费电子主题ETF,Y,include:name_etf,科技,消费电子,股票型,中证消费电子主题指数收益率×100%,E,L,2021/9/9,,平安基金管理有限公司,sw2021:index_classify,,801085.SI,消费电子,L2,270000,消费电子,sw2021:industry_name
561980.SH,招商中证半导体产业ETF,Y,include:name_etf,科技,半导体,股票型,中证半导体产业指数收益率×100%,E,L,2023/9/1,,招商基金管理有限公司,sw2021:index_classify,,801081.SI,半导体,L2,270000,半导体,sw2021:industry_name
562590.SH,华夏中证半导体材料设备主题ETF,Y,include:name_etf,科技,半导体,股票型,中证半导体材料设备主题指数收益率×100%,E,L,2023/10/18,,华夏基金管理有限公司,sw2021:index_classify,,850813.SI,半导体材料,L3,270100,半导体材料,sw2021:industry_name
562930.SH,易方达中证软件服务ETF,Y,include:name_etf,科技,软件,股票型,中证软件服务指数收益率×100%,E,L,2023/6/5,,易方达基金管理有限公司,fund_type/benchmark/name:technology,,,,,,,
562950.SH,易方达中证消费电子主题ETF,Y,include:name_etf,科技,消费电子,股票型,中证消费电子主题指数收益率×100%,E,L,2022/1/20,,易方达基金管理有限公司,sw2021:index_classify,,801085.SI,消费电子,L2,270000,消费电子,sw2021:industry_name
563560.SH,兴业中证科技优势成长50策略ETF,Y,include:name_etf,科技,科技综合,股票型,中证科技优势成长50策略指数收益率×100%,E,L,2026/2/27,,兴业基金管理有限公司,fund_type/benchmark/name:technology,,,,,,,
588170.SH,华夏上证科创板半导体材料设备主题ETF,Y,include:name_etf,科技,半导体,股票型,上证科创板半导体材料设备主题指数收益率×100%,E,L,2025/4/8,,华夏基金管理有限公司,sw2021:index_classify,,850813.SI,半导体材料,L3,270100,半导体材料,sw2021:industry_name
588200.SH,嘉实上证科创板芯片ETF,Y,include:name_etf,科技,半导体,股票型,上证科创板芯片指数收益率×100%,E,L,2022/10/26,,嘉实基金管理有限公司,sw2021:index_classify,,801081.SI,半导体,L2,270000,芯片,sw2021:alias
588290.SH,华安上证科创板芯片ETF,Y,include:name_etf,科技,半导体,股票型,上证科创板芯片指数收益率×100%,E,L,2022/10/26,,华安基金管理有限公司,sw2021:index_classify,,801081.SI,半导体,L2,270000,芯片,sw2021:alias
588410.SH,鹏华中证科创创业人工智能ETF,Y,include:name_etf,宽基,创业板,股票型,中证科创创业人工智能指数收益率×100%,E,L,2026/1/5,,鹏华基金管理有限公司,fund_type/benchmark/name:broad_index,,,,,,,
588420.SH,摩根中证科创创业人工智能ETF,Y,include:name_etf,宽基,创业板,股票型,中证科创创业人工智能指数收益率×100%,E,L,2026/1/5,,摩根基金管理(中国)有限公司,fund_type/benchmark/name:broad_index,,,,,,,
588430.SH,工银瑞信中证科创创业人工智能ETF,Y,include:name_etf,宽基,创业板,股票型,中证科创创业人工智能指数收益率×100%,E,L,2025/12/29,,工银瑞信基金管理有限公司,fund_type/benchmark/name:broad_index,,,,,,,
588470.SH,华安中证科创创业人工智能ETF,Y,include:name_etf,宽基,创业板,股票型,中证科创创业人工智能指数收益率×100%,E,L,2026/5/28,,华安基金管理有限公司,fund_type/benchmark/name:broad_index,,,,,,,
588480.SH,中金中证科创创业人工智能ETF,Y,include:name_etf,宽基,创业板,股票型,中证科创创业人工智能指数收益率×100%,E,L,2026/5/12,,中金基金管理有限公司,fund_type/benchmark/name:broad_index,,,,,,,
588510.SH,华夏中证科创创业人工智能ETF,Y,include:name_etf,宽基,创业板,股票型,中证科创创业人工智能指数收益率×100%,E,L,2026/5/29,,华夏基金管理有限公司,fund_type/benchmark/name:broad_index,,,,,,,
588710.SH,华泰柏瑞上证科创板半导体材料设备主题ETF,Y,include:name_etf,科技,半导体,股票型,上证科创板半导体材料设备主题指数收益率×100%,E,L,2025/6/4,,华泰柏瑞基金管理有限公司,sw2021:index_classify,,850813.SI,半导体材料,L3,270100,半导体材料,sw2021:industry_name
588730.SH,易方达上证科创板人工智能ETF,Y,include:name_etf,科技,人工智能,股票型,上证科创板人工智能指数收益率×100%,E,L,2025/1/24,,易方达基金管理有限公司,fund_type/benchmark/name:technology,,,,,,,
588750.SH,汇添富上证科创板芯片ETF,Y,include:name_etf,科技,半导体,股票型,上证科创板芯片指数收益率×100%,E,L,2024/12/26,,汇添富基金管理股份有限公司,sw2021:index_classify,,801081.SI,半导体,L2,270000,芯片,sw2021:alias
588760.SH,广发上证科创板人工智能ETF,Y,include:name_etf,科技,人工智能,股票型,上证科创板人工智能指数收益率×100%,E,L,2025/1/23,,广发基金管理有限公司,fund_type/benchmark/name:technology,,,,,,,
588780.SH,国联安上证科创板芯片设计主题ETF,Y,include:name_etf,科技,半导体,股票型,上证科创板芯片设计主题指数收益率×100%,E,L,2024/12/26,,国联安基金管理有限公司,sw2021:index_classify,,801081.SI,半导体,L2,270000,芯片,sw2021:alias
588790.SH,博时上证科创板人工智能ETF,Y,include:name_etf,科技,人工智能,股票型,上证科创板人工智能指数收益率×100%,E,L,2025/1/9,,博时基金管理有限公司,fund_type/benchmark/name:technology,,,,,,,
588810.SH,富国上证科创板芯片ETF,Y,include:name_etf,科技,半导体,股票型,上证科创板芯片指数收益率×100%,E,L,2025/1/9,,富国基金管理有限公司,sw2021:index_classify,,801081.SI,半导体,L2,270000,芯片,sw2021:alias
588890.SH,南方上证科创板芯片ETF,Y,include:name_etf,科技,半导体,股票型,上证科创板芯片指数×100%,E,L,2024/4/23,,南方基金管理股份有限公司,sw2021:index_classify,,801081.SI,半导体,L2,270000,芯片,sw2021:alias
588920.SH,鹏华上证科创板芯片ETF,Y,include:name_etf,科技,半导体,股票型,上证科创板芯片指数收益率×100%,E,L,2025/7/28,,鹏华基金管理有限公司,sw2021:index_classify,,801081.SI,半导体,L2,270000,芯片,sw2021:alias
588930.SH,银华上证科创板人工智能ETF,Y,include:name_etf,科技,人工智能,股票型,上证科创板人工智能指数收益率×100%,E,L,2025/1/14,,银华基金管理股份有限公司,fund_type/benchmark/name:technology,,,,,,,
588990.SH,博时上证科创板芯片ETF,Y,include:name_etf,科技,半导体,股票型,上证科创板芯片指数收益率×100%,E,L,2024/8/16,,博时基金管理有限公司,sw2021:index_classify,,801081.SI,半导体,L2,270000,芯片,sw2021:alias
589010.SH,华夏上证科创板人工智能ETF,Y,include:name_etf,科技,人工智能,股票型,上证科创板人工智能指数收益率×100%,E,L,2025/4/9,,华夏基金管理有限公司,fund_type/benchmark/name:technology,,,,,,,
589020.SH,鹏华上证科创板半导体材料设备主题ETF,Y,include:name_etf,科技,半导体,股票型,上证科创板半导体材料设备主题指数收益率×100%,E,L,2025/9/4,,鹏华基金管理有限公司,sw2021:index_classify,,850813.SI,半导体材料,L3,270100,半导体材料,sw2021:industry_name
589030.SH,易方达上证科创板芯片设计主题ETF,Y,include:name_etf,科技,半导体,股票型,上证科创板芯片设计主题指数收益率×100%,E,L,2026/1/19,,易方达基金管理有限公司,sw2021:index_classify,,801081.SI,半导体,L2,270000,芯片,sw2021:alias
589070.SH,天弘上证科创板芯片设计主题ETF,Y,include:name_etf,科技,半导体,股票型,上证科创板芯片设计主题指数收益率×100%,E,L,2026/1/23,,天弘基金管理有限公司,sw2021:index_classify,,801081.SI,半导体,L2,270000,芯片,sw2021:alias
589090.SH,鹏华上证科创板人工智能ETF,Y,include:name_etf,科技,人工智能,股票型,上证科创板人工智能指数收益率×100%,E,L,2025/8/27,,鹏华基金管理有限公司,fund_type/benchmark/name:technology,,,,,,,
589100.SH,国泰上证科创板芯片ETF,Y,include:name_etf,科技,半导体,股票型,上证科创板芯片指数收益率×100%,E,L,2025/4/7,,国泰基金管理有限公司,sw2021:index_classify,,801081.SI,半导体,L2,270000,芯片,sw2021:alias
589110.SH,国泰上证科创板人工智能ETF,Y,include:name_etf,科技,人工智能,股票型,上证科创板人工智能指数收益率×100%,E,L,2025/10/15,,国泰基金管理有限公司,fund_type/benchmark/name:technology,,,,,,,
589130.SH,易方达上证科创板芯片ETF,Y,include:name_etf,科技,半导体,股票型,上证科创板芯片指数收益率×100%,E,L,2026/1/8,,易方达基金管理有限公司,sw2021:index_classify,,801081.SI,半导体,L2,270000,芯片,sw2021:alias
