fund_code,name,trade_date,prev_trade_date,event_type,event_date,announcement_date,event_keyword,event_title,source_url,share_change,share_change_pct,adjustment_action,review_status,review_note
513770.SH,华宝中证港股通互联网ETF,20250829,20250828,share_split,20250826,20250826,基金份额拆分,华宝基金管理有限公司关于华宝中证港股通互联网交易型开放式指数证券投资基金实施基金份额拆分并调整最小申购、赎回单位及相关业务安排的公告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-08-26/513770_20250826_3ZME.pdf,790406.9,1.0235688262247957,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
515000.SH,华宝中证科技龙头ETF,20250905,20250904,share_split,20250902,20250902,基金份额拆分,华宝基金管理有限公司关于华宝中证科技龙头交易型开放式指数证券投资基金实施基金份额拆分并调整最小申购、赎回单位及相关业务安排的公告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-09-02/515000_20250902_ECGC.pdf,173628.96,0.9763817447742064,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
516800.SH,华宝中证智能制造主题ETF,20250905,20250904,share_split,20250902,20250902,基金份额拆分,华宝基金管理有限公司关于华宝中证智能制造主题交易型开放式指数证券投资基金实施基金份额拆分并调整最小申购、赎回单位及相关业务安排的公告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-09-02/516800_20250902_3J7K.pdf,11315.4,1.0,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
515260.SH,华宝中证电子50ETF,20250912,20250911,share_split,20250909,20250909,基金份额拆分,华宝基金管理有限公司关于华宝中证电子50交易型开放式指数证券投资基金实施基金份额拆分并调整最小申购、赎回单位及相关业务安排的公告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-09-09/515260_20250909_05TQ.pdf,39828.42,1.025754331492242,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
515980.SH,华富中证人工智能产业ETF,20250929,20250926,share_split,20250930,20250930,基金份额拆分,华富基金管理有限公司关于华富中证人工智能产业交易型开放式指数证券投资基金基金份额拆分结果的公告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-09-30/515980_20250930_Z77F.pdf,429256.45,0.9993016051790167,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
159596.SZ,华宝中证A50ETF,20251020,20251017,share_split,20251020,20251020,基金份额拆分,华宝基金管理有限公司关于华宝中证A50交易型开放式指数证券投资基金基金份额拆分结果的公告,https://static.cninfo.com.cn/finalpage/2025-10-20/1224719474.PDF,49484.152,1.024852875121427,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
588860.SH,工银瑞信上证科创板生物医药ETF,20251024,20251023,share_split,20251021,20251021,基金份额拆分,工银瑞信基金管理有限公司关于工银瑞信上证科创板生物医药交易型开放式指数证券投资基金实施基金份额拆分并调整最小申购、赎回单位及相关业务安排的公告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-10-21/588860_20251021_E5AT.pdf,13044.47,1.0,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
562000.SH,华宝中证A100ETF,20251107,20251106,share_split,20251104,20251104,基金份额拆分,华宝基金管理有限公司关于华宝中证A100交易型开放式指数证券投资基金实施基金份额拆分并调整最小申购、赎回单位及相关业务安排的公告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-11-04/562000_20251104_ZGXI.pdf,57836.899999999994,0.9931316730683935,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
562080.SH,华宝沪深300自由现金流ETF,20251107,20251106,share_split,20251104,20251104,基金份额拆分,华宝基金管理有限公司关于华宝沪深300自由现金流交易型开放式指数证券投资基金实施基金份额拆分并调整最小申购、赎回单位及相关业务安排的公告,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-11-04/562080_20251104_794H.pdf,64937.86,0.9788959125301901,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
159220.SZ,华宝标普港股通低波红利ETF,20251110,20251107,share_split,20251110,20251110,基金份额拆分,华宝基金管理有限公司关于华宝标普港股通低波红利交易型开放式指数证券投资基金基金份额拆分结果的公告,https://static.cninfo.com.cn/finalpage/2025-11-10/1224794202.PDF,26878.4763,1.0228323740368463,zero_estimated_net_flow,auto_from_matched_lifecycle_event,non_flow_lifecycle_share_jump
