fund_code,name,trade_date,prev_trade_date,request_start_date,request_end_date,share_change,share_change_pct,review_layer,review_reason,category,subcategory,fund_type,list_date,days_since_list,share_ratio,nearest_integer_ratio,integer_ratio_error
159298.SZ,大成创业板50ETF,20251027,20251024,20251020,20251103,8599.999999999998,1.0084299821618115,high_suspicion,high:early_listing_abs_change_ge_0.70;high:positive_integer_ratio,宽基,创业板50,股票型,20250908,49.0,2.0084299821618115,2.0,0.008429982161811456
159123.SZ,嘉实中证光伏产业ETF,20251208,20251205,20251201,20251215,34500.00000000001,0.7734610475802166,high_suspicion,high:early_listing_abs_change_ge_0.70,新能源,光伏,股票型,20251127,11.0,1.7734610475802166,2.0,0.2265389524197834
159107.SZ,富国创业板软件ETF,20260113,20260112,20260106,20260120,31300.000000000004,1.3560173460352563,high_suspicion,high:positive_change_ge_1.20,宽基,创业板,股票型,20250922,113.0,2.3560173460352565,2.0,0.3560173460352565
159142.SZ,景顺长城中证科创创业人工智能ETF,20260113,20260112,20260106,20260120,20599.999999999996,0.7272466876049224,high_suspicion,high:early_listing_abs_change_ge_0.70,宽基,创业板,股票型,20251212,32.0,1.7272466876049224,2.0,0.2727533123950776
159725.SZ,工银瑞信中证线上消费主题ETF,20260113,20260112,20260106,20260120,6699.999999999999,0.9650712761313213,high_suspicion,high:positive_integer_ratio,消费,消费综合,股票型,20210702,1656.0,1.9650712761313212,2.0,0.034928723868678846
159805.SZ,鹏华中证传媒ETF,20260113,20260112,20260106,20260120,19400.0,1.3337689395189412,high_suspicion,high:positive_change_ge_1.20,科技,传媒,股票型,20200417,2097.0,2.3337689395189414,2.0,0.3337689395189414
159147.SZ,南方中证电池主题ETF,20260205,20260204,20260129,20260212,29700.0,0.8403847556446353,high_suspicion,high:early_listing_abs_change_ge_0.70;high:positive_integer_ratio,新能源,电池储能,股票型,20260123,13.0,1.8403847556446353,2.0,0.15961524435536467
159945.SZ,广发中证全指能源ETF,20260303,20260302,20260224,20260310,4450.0,1.0968066978263287,high_suspicion,high:positive_integer_ratio,周期,能源,股票型,20150706,3893.0,2.0968066978263287,2.0,0.09680669782632867
560190.SH,鹏华中证全指公用事业ETF,20260312,20260311,20260226,20260326,1650.0,1.042061386888973,high_suspicion,high:positive_integer_ratio,公用事业,公用事业,股票型,20250106,430.0,2.042061386888973,2.0,0.04206138688897321
159725.SZ,工银瑞信中证线上消费主题ETF,20260513,20260512,20260506,20260520,7600.0,0.8498749185406074,high_suspicion,high:positive_integer_ratio,消费,消费综合,股票型,20210702,1776.0,1.8498749185406074,2.0,0.15012508145939263
159292.SZ,华宝创业板综合增强策略ETF,20260625,20260624,20260617,20260702,4800.0,1.538977934615304,high_suspicion,high:positive_change_ge_1.20,宽基,创业板,股票型,20250902,296.0,2.538977934615304,3.0,0.46102206538469614
159050.SZ,广发国证机器人产业ETF,20260707,20260706,20260630,20260714,25500.0,0.8314215745199636,high_suspicion,high:early_listing_abs_change_ge_0.70;high:positive_integer_ratio,科技,机器人,股票型,20260609,28.0,1.8314215745199636,2.0,0.16857842548003643
